Entry ID,Entry
570,Supreme Master Ching Hai World Society
174,Matthew-James-Didache Movement
230,Religion in Mesopotamia
284,Yolngu religion
358,16th-17th c. Gauḍīya Vaiṣṇava Tradition
381,Sikhism: Guru Nanak to Guru Arjan
383,Varkaris
390,Dasara
400,Singaporean Mega-Churches
392,Sikhism: Guru Hargobind to Guru Gobind Singh
415,Shaiva World Renouncers
416,Edinoverie
419,The Worship of Jagannath in Puri (Odisha)
422,Demeter Cult
424,Achaemenid Religion
441,Worshipers of Śītalā
442,Donatism
469,Won-Buddhism
476,Cham Bani
483,Northern Irish Roman Catholics
484,Northern Irish Protestants
486,Church of Jesus Christ of Latter-day Saints (early)
490,Guglielmites
492,Roman Divination
520,Cham Ahiér
525,Church of Jesus Christ of Latter-day Saints (modern)
526,Hmong Christianity
534,Roman Imperial Cult
580,Nāth Sampradāya
586,Kelantanese Thai Religion
592,Veerashaivas
688,Darul Uloom Deoband
690,Ahl-e-Sunnat wa Jamaat
639,Chinese Esoteric Buddhism (Tang Tantrism)
629,Newar Buddhists
714,Tamil Śaiva Bhakti
719,Hinduism in Trinidad
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period"
645,"Meo Muslim, Mev, Mewati Muslim"
726,Early Śramaṇas
742,Thai Bhikkhunis
749,Korean shamanism
770,Thai Forest Tradition
771,Muscular Christianity
775,Jainism
788,The Late Bronze Age City-State of Ugarit
755,Uyghur Islam
562,Medieval Śrīvaiṣṇavism
563,"Gaddi, a Hindu community of the Western Himalayas"
564,Tribal Christianity (and allied castes) in the Himalayas
632,Local Religion at Selinous
633,Mādhva
646,Lakota Religious Traditions
624,The Roshaniyya
654,12th-13th c Cistercians
661,Congregation of Savigny
676,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500"
680,Gujarati Mata Worshipers
765,The Oneida Community
834,The Plum Village Sangha of Thich Nhat Hanh
839,19th century German Protestantism
841,Sa skya
842,American Evangelicalism
623,Diasporic American Hinduism
846,Xuanzang's Yogācāra Tradition
849,"""""""""Gaiwiio Religion,"""""""" """"""""Longhouse Religion,"""""""" or """"""""The Way of Handsome Lake"""""""" of the Seneca Tribe"
851,Sikhism in the United States
857,Wesleyanism
867,Nyingma Treasure
870,Postsocialist Mongolian Buddhism
862,Ilm-e-Khshnoom
871,Spiritualism
879,Free Methodist Church
880,Egyptian Salafism (inluding North Africa and West Asia)
884,Sub Saharan Africa Pentecostalism
883,Catholics in the People's Republic of China (PRC)
886,Pushtimarg (The Path of Grace) in the UK and Gujarat
896,Sannō Shintō
887,Postsocialist Mongolian Shamanism
855,Middle-Class Migrant Muslims in the UAE
892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism
899,Nahdlatul Ulama (NU)
891,Peruvian Mormons
826,"The Church of Christ, Scientist"
894,Universal Fellowship of Metropolitan Community Churches
906,The Church of England
873,The Branch Davidians
914,Tariqa Shadhiliyya
869,Sichuan Esoteric Buddhist Cult
910,Christian Base Community movement
921,Bhils
885,Contemporary West African Vodun
926,Ladakhi Buddhism
919,Catholicism in contemporary Croatia
854,pre-Christian Irish
928,The Ghost Dance Movement and the Lakota Sioux
929,Drikung Kagyu
933,Marcionites
934,Mongolian Buddhism during the Revolutionary Period
935,Nigerian Pentecostalism
937,Vestal Virgins
938,Ugarit
941,Chan Buddhists in early Qing period
942,African Methodist Episcopal Church
944,Mohyla's Ukrainian Church
931,The Society of Jesus (Jesuits) in Britain
925,Rabbinic Judaism (Babylonia)
946,Nyingma (rnying ma)
950,The Religious Society of Friends
943,Moravian Missionaries in Nunatsiavut
953,Sachchai
958,Society of Jesus
952,Ethiopian Jews
960,Bön (Bon)
961,Romanian Orthodox Church
962,Amdo Gelukpa
963,The Knights Templar
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,"
967,Unitarian Universalism
848,Sadducees
969,Adi Dravida/Valluva Sakya Buddhism
972,Nestorian Christianity
973,The Sarna religion of the Oraons of Jharkhand
974,"Greek Chalcedonian Christians, Nicaea"
970,Cult of Isis (Mysteries of Isis)
971,Gāṇapatya
976,Mising Community
978,Indonesian Catholicism
843,Bnay Qyāmā and Bnāt Qyāmā
949,The Church of All Worlds
977,Chishti Sufis
975,Neo-Charismatic Movement - Third Wave Charismatic Movement
980,Pure Land Buddhist Schools in Early Medieval Japan
982,The Samaritans (Persian to early Roman periods)
877,The International Network of Engaged Buddhists - INEB
983,Tibetan and Himalayan Mundane and Landscape Cults
984,Calvinism (Early/Reformation)
986,Theurgy
985,The Victorines
987,"Parsis, Zoroastrians of India"
988,Churches of Christ- United States
991,Beat Buddhism
993,Pontifex Maximus and Pontifices (Pontifical College)
994,"Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis"
995,Tamil Neo-Saivism
1004,Religion in Roman Ostia
1013,Estado da Índia Renegades in Deccan
1037,Third Intermediate Period in Ancient Egypt
1038,Sino-Muslims in Qing China
1041,Korean Catholicism
1043,Islam in Aceh
1044,Han Imperial Cult under Emperor Wu
1069,Religion at Deir el-Medina
1071,Digital Shinto Communities
1076,Inquisitors of Goa's Santo Ofício
1083,Drukpa Kagyü School (Bhutan)
1087,The Bogomils
968,"Anabaptist Mennonites in North America, 1683-2021"
1127,Anglican Church of Korea
1129,Ancient Thessalians
1134,Tiantai
1140,Early Medieval Confucianism
1154,The Cult of the Fox
1162,Lingbao dafa
1172,Twofold Mystery (Chongxuan 重玄)
1180,Batak Traditional Religions
1192,Kaharingan
1218,Yiguan Dao/I-Kuan Tao 一貫道
1229,Three Self Patriotic Movement (TSPM)
1241,Taiping 太平 Movement
1247,Exovedate
1258,Religion in Judah
1293,The Zapotec or Ben 'Zaa (The Cloud People)
1295,Donatism
1311,Jehovah's Witnesses
1248,Religion in the Old Assyrian Period
1321,Mourides (Muridiyya)
1304,Peyote Religion (Peyotism) and the Native American Church
1340,International Sivananda Yoga Vedanta Centers
1307,Southern Baptists
1334,No-debt Movement in US Evangelicalism
1341,Muslim Students Association of the United States and Canada
924,Muridiyya of Senegal
1352,Śākadvīpīya Brāhmaṇas
1335,Congregation of the Oratory
1333,Cult of Thecla
1344,Tibetan Nonsectarianism (ris med)
1369,Astronomers in Babylon
1371,Twelver Shi'ism in post-revolutionary Iran
1374,The Reformed Church (Early Orthodoxy)
1348,Disability-focused Christianity for Palestinians
1386,Liumen (Liu School)
1400,The Buddhist Nuns of 4th - 6th century China
1396,Ptolemaic Egypt - Egyptian Religion
1300,"Enlace de Agentes de Pastoral Indígena (EAPI, Network of Indigenous Ministry Agents)"
1419,Ancient Egyptian Religion in the Early 18th Dynasty
1426,Early Missionary Christianity in China
1436,The Monastic School of Gaza
1441,Mexica (Aztec) Religion
1466,Islamic modernists
1495,Secular Buddhists
1511,Sokoto
1517,Tunisian Women's Associations
1522,Tijaniyya Order/ الطريقة التيجانية
1555,Al-Ahbash الأحباش
1570,Tamil Muslims
1544,Ukrainian Greek Catholic Church
1535,الجمعية الخيرية الإسلامية بمدينة سوق الأربعاء
1627,Mount Putuo 普陀山
1626,The Cult of Maritime Hera
1636,The second phase of the Iconoclastic Controversy
1653,Homoian Christianity amongst Visigoths
1654,Le Parti du Mouvement de La Nahdha حزب حركة النهضة
1703,Arsenites
