n1,n2,weight,weight_abs,Question Short_x,Question Short_y
1,2,0.062930591758,0.062930591758,vio. conf. in,vio. conf. out
1,3,-0.017942220355,0.017942220355,vio. conf. in,proselytize
2,3,0.11822872071,0.11822872071,vio. conf. out,proselytize
1,4,0.33585360295,0.33585360295,vio. conf. in,polity enf. obs.
2,4,0.1276346305,0.1276346305,vio. conf. out,polity enf. obs.
3,4,0.20233436816,0.20233436816,proselytize,polity enf. obs.
1,5,0.034249100306,0.034249100306,vio. conf. in,apos. punish
2,5,0.17590694974,0.17590694974,vio. conf. out,apos. punish
3,5,0.53553767979,0.53553767979,proselytize,apos. punish
4,5,0.30950340355,0.30950340355,polity enf. obs.,apos. punish
1,6,-0.052692905995,0.052692905995,vio. conf. in,script. written
2,6,0.20072212779,0.20072212779,vio. conf. out,script. written
3,6,0.011361179225,0.011361179225,proselytize,script. written
4,6,-0.080370875913,0.080370875913,polity enf. obs.,script. written
5,6,0.12543760409,0.12543760409,apos. punish,script. written
1,7,-0.058010399903,0.058010399903,vio. conf. in,formal script. int.
2,7,0.074739709731,0.074739709731,vio. conf. out,formal script. int.
3,7,0.10801822939,0.10801822939,proselytize,formal script. int.
4,7,-0.026275305462,0.026275305462,polity enf. obs.,formal script. int.
5,7,-0.070307415251,0.070307415251,apos. punish,formal script. int.
6,7,-0.02688116022,0.02688116022,script. written,formal script. int.
1,8,0.13508102985,0.13508102985,vio. conf. in,monuments
2,8,0.049578480264,0.049578480264,vio. conf. out,monuments
3,8,0.05555222283,0.05555222283,proselytize,monuments
4,8,0.31801174605,0.31801174605,polity enf. obs.,monuments
5,8,0.080973499467,0.080973499467,apos. punish,monuments
6,8,0.012962742149,0.012962742149,script. written,monuments
7,8,0.15328238333,0.15328238333,formal script. int.,monuments
1,9,0.20130727907,0.20130727907,vio. conf. in,mass gather
2,9,0.064532854341,0.064532854341,vio. conf. out,mass gather
3,9,0.060551916422,0.060551916422,proselytize,mass gather
4,9,0.21646493092,0.21646493092,polity enf. obs.,mass gather
5,9,0.0070680834437,0.0070680834437,apos. punish,mass gather
6,9,0.11045860882,0.11045860882,script. written,mass gather
7,9,0.085170781548,0.085170781548,formal script. int.,mass gather
8,9,0.37015136798,0.37015136798,monuments,mass gather
1,10,0.12690946029,0.12690946029,vio. conf. in,pilgrimages
2,10,-0.019875592255,0.019875592255,vio. conf. out,pilgrimages
3,10,-0.059128054882,0.059128054882,proselytize,pilgrimages
4,10,0.26740703132,0.26740703132,polity enf. obs.,pilgrimages
5,10,-0.021092568763,0.021092568763,apos. punish,pilgrimages
6,10,0.012293471098,0.012293471098,script. written,pilgrimages
7,10,0.073739183315,0.073739183315,formal script. int.,pilgrimages
8,10,0.2614451617,0.2614451617,monuments,pilgrimages
9,10,0.26432807658,0.26432807658,mass gather,pilgrimages
1,11,0.017786803547,0.017786803547,vio. conf. in,afterlife belief
2,11,0.19641593805,0.19641593805,vio. conf. out,afterlife belief
3,11,0.15596700293,0.15596700293,proselytize,afterlife belief
4,11,0.13098493631,0.13098493631,polity enf. obs.,afterlife belief
5,11,0.2094633758,0.2094633758,apos. punish,afterlife belief
6,11,0.075166926571,0.075166926571,script. written,afterlife belief
7,11,0.15041138796,0.15041138796,formal script. int.,afterlife belief
8,11,0.18528604143,0.18528604143,monuments,afterlife belief
9,11,0.10992514519,0.10992514519,mass gather,afterlife belief
10,11,0.18179135724,0.18179135724,pilgrimages,afterlife belief
1,12,-0.12879441098,0.12879441098,vio. conf. in,reincarn. karma
2,12,-0.30085779151,0.30085779151,vio. conf. out,reincarn. karma
3,12,-0.22725095937,0.22725095937,proselytize,reincarn. karma
4,12,-0.072274100899,0.072274100899,polity enf. obs.,reincarn. karma
5,12,-0.22874825083,0.22874825083,apos. punish,reincarn. karma
6,12,-0.064644803114,0.064644803114,script. written,reincarn. karma
7,12,-0.030212482244,0.030212482244,formal script. int.,reincarn. karma
8,12,-0.063888774638,0.063888774638,monuments,reincarn. karma
9,12,-0.019106906242,0.019106906242,mass gather,reincarn. karma
10,12,-0.045897474077,0.045897474077,pilgrimages,reincarn. karma
11,12,-0.33636454977,0.33636454977,afterlife belief,reincarn. karma
1,13,0.081803127611,0.081803127611,vio. conf. in,human sac.
2,13,-0.22662081487,0.22662081487,vio. conf. out,human sac.
3,13,-0.10809495079,0.10809495079,proselytize,human sac.
4,13,-0.014856357947,0.014856357947,polity enf. obs.,human sac.
5,13,-0.0061396287257,0.0061396287257,apos. punish,human sac.
6,13,-0.078478391565,0.078478391565,script. written,human sac.
7,13,-0.15473228304,0.15473228304,formal script. int.,human sac.
8,13,0.040979258245,0.040979258245,monuments,human sac.
9,13,0.10143427434,0.10143427434,mass gather,human sac.
10,13,0.016067408777,0.016067408777,pilgrimages,human sac.
11,13,-0.26608579069,0.26608579069,afterlife belief,human sac.
12,13,0.020850014876,0.020850014876,reincarn. karma,human sac.
1,14,0.20604247889,0.20604247889,vio. conf. in,supreme god
2,14,-0.11185584147,0.11185584147,vio. conf. out,supreme god
3,14,-0.0011455940604,0.0011455940604,proselytize,supreme god
4,14,0.17604065226,0.17604065226,polity enf. obs.,supreme god
5,14,0.032413142495,0.032413142495,apos. punish,supreme god
6,14,-0.11195459786,0.11195459786,script. written,supreme god
7,14,0.029081017459,0.029081017459,formal script. int.,supreme god
8,14,0.07597394282,0.07597394282,monuments,supreme god
9,14,0.03178814933,0.03178814933,mass gather,supreme god
10,14,0.11231575195,0.11231575195,pilgrimages,supreme god
11,14,0.093737322218,0.093737322218,afterlife belief,supreme god
12,14,-0.10214208936,0.10214208936,reincarn. karma,supreme god
13,14,-0.1194747381,0.1194747381,human sac.,supreme god
1,15,0.19937405992,0.19937405992,vio. conf. in,sup. monit. prosoc.
2,15,0.10884620548,0.10884620548,vio. conf. out,sup. monit. prosoc.
3,15,0.069946072965,0.069946072965,proselytize,sup. monit. prosoc.
4,15,0.23993716078,0.23993716078,polity enf. obs.,sup. monit. prosoc.
5,15,-0.018001501047,0.018001501047,apos. punish,sup. monit. prosoc.
6,15,-0.026619958146,0.026619958146,script. written,sup. monit. prosoc.
7,15,-0.061873207851,0.061873207851,formal script. int.,sup. monit. prosoc.
8,15,0.083822603679,0.083822603679,monuments,sup. monit. prosoc.
9,15,0.092759805573,0.092759805573,mass gather,sup. monit. prosoc.
10,15,0.12867376331,0.12867376331,pilgrimages,sup. monit. prosoc.
11,15,-0.0031815396208,0.0031815396208,afterlife belief,sup. monit. prosoc.
12,15,-0.0049556349092,0.0049556349092,reincarn. karma,sup. monit. prosoc.
13,15,-0.018264037513,0.018264037513,human sac.,sup. monit. prosoc.
14,15,0.22387118074,0.22387118074,supreme god,sup. monit. prosoc.
1,16,0.0093761406381,0.0093761406381,vio. conf. in,sup. care sex
2,16,0.17127633637,0.17127633637,vio. conf. out,sup. care sex
3,16,0.21329812923,0.21329812923,proselytize,sup. care sex
4,16,0.043677153782,0.043677153782,polity enf. obs.,sup. care sex
5,16,0.19685325748,0.19685325748,apos. punish,sup. care sex
6,16,0.16424309383,0.16424309383,script. written,sup. care sex
7,16,-0.021294628405,0.021294628405,formal script. int.,sup. care sex
8,16,-0.057003272258,0.057003272258,monuments,sup. care sex
9,16,-0.03462748582,0.03462748582,mass gather,sup. care sex
10,16,0.01668166173,0.01668166173,pilgrimages,sup. care sex
11,16,0.12277142651,0.12277142651,afterlife belief,sup. care sex
12,16,-0.13399203243,0.13399203243,reincarn. karma,sup. care sex
13,16,-0.080414847363,0.080414847363,human sac.,sup. care sex
14,16,0.050733270854,0.050733270854,supreme god,sup. care sex
15,16,0.1833016083,0.1833016083,sup. monit. prosoc.,sup. care sex
1,17,0.27006077781,0.27006077781,vio. conf. in,sup. care oat
2,17,0.10746040173,0.10746040173,vio. conf. out,sup. care oat
3,17,0.12141890173,0.12141890173,proselytize,sup. care oat
4,17,0.14392761404,0.14392761404,polity enf. obs.,sup. care oat
5,17,0.1146092665,0.1146092665,apos. punish,sup. care oat
6,17,-0.028916829192,0.028916829192,script. written,sup. care oat
7,17,-0.0015536419103,0.0015536419103,formal script. int.,sup. care oat
8,17,0.079026470928,0.079026470928,monuments,sup. care oat
9,17,0.13212343556,0.13212343556,mass gather,sup. care oat
10,17,0.13332036537,0.13332036537,pilgrimages,sup. care oat
11,17,0.059106569216,0.059106569216,afterlife belief,sup. care oat
12,17,-0.030281106192,0.030281106192,reincarn. karma,sup. care oat
13,17,-0.089187304273,0.089187304273,human sac.,sup. care oat
14,17,0.25393696912,0.25393696912,supreme god,sup. care oat
15,17,0.36011882036,0.36011882036,sup. monit. prosoc.,sup. care oat
16,17,0.20529286863,0.20529286863,sup. care sex,sup. care oat
1,18,0.10774935358,0.10774935358,vio. conf. in,sup. care rit.
2,18,0.30420323654,0.30420323654,vio. conf. out,sup. care rit.
3,18,0.30291935779,0.30291935779,proselytize,sup. care rit.
4,18,0.016653697145,0.016653697145,polity enf. obs.,sup. care rit.
5,18,0.28713939695,0.28713939695,apos. punish,sup. care rit.
6,18,0.063358716427,0.063358716427,script. written,sup. care rit.
7,18,0.0082214345704,0.0082214345704,formal script. int.,sup. care rit.
8,18,-0.016211199926,0.016211199926,monuments,sup. care rit.
9,18,-0.00072652553631,0.00072652553631,mass gather,sup. care rit.
10,18,-0.0077866829082,0.0077866829082,pilgrimages,sup. care rit.
11,18,0.15286545878,0.15286545878,afterlife belief,sup. care rit.
12,18,-0.12729241903,0.12729241903,reincarn. karma,sup. care rit.
13,18,-0.15778151888,0.15778151888,human sac.,sup. care rit.
14,18,0.098268818089,0.098268818089,supreme god,sup. care rit.
15,18,0.22540479121,0.22540479121,sup. monit. prosoc.,sup. care rit.
16,18,0.2874956008,0.2874956008,sup. care sex,sup. care rit.
17,18,0.28425543099,0.28425543099,sup. care oat,sup. care rit.
1,19,0.032580182603,0.032580182603,vio. conf. in,sup. care conv.
2,19,-0.011339711521,0.011339711521,vio. conf. out,sup. care conv.
3,19,0.0043645995399,0.0043645995399,proselytize,sup. care conv.
4,19,0.080416449251,0.080416449251,polity enf. obs.,sup. care conv.
5,19,-0.20252425873,0.20252425873,apos. punish,sup. care conv.
6,19,0.097579782912,0.097579782912,script. written,sup. care conv.
7,19,0.046499444307,0.046499444307,formal script. int.,sup. care conv.
8,19,-0.030801004215,0.030801004215,monuments,sup. care conv.
9,19,0.041228426496,0.041228426496,mass gather,sup. care conv.
10,19,0.077289763163,0.077289763163,pilgrimages,sup. care conv.
11,19,-0.17431812085,0.17431812085,afterlife belief,sup. care conv.
12,19,0.044761397057,0.044761397057,reincarn. karma,sup. care conv.
13,19,-0.034238575848,0.034238575848,human sac.,sup. care conv.
14,19,0.1451189301,0.1451189301,supreme god,sup. care conv.
15,19,0.18396502649,0.18396502649,sup. monit. prosoc.,sup. care conv.
16,19,0.14550379846,0.14550379846,sup. care sex,sup. care conv.
17,19,0.11347120059,0.11347120059,sup. care oat,sup. care conv.
18,19,-0.027221879792,0.027221879792,sup. care rit.,sup. care conv.
1,20,-0.047841426379,0.047841426379,vio. conf. in,sup. pun. enf. norm
2,20,0.1523677261,0.1523677261,vio. conf. out,sup. pun. enf. norm
3,20,0.18395143624,0.18395143624,proselytize,sup. pun. enf. norm
4,20,-0.032718581844,0.032718581844,polity enf. obs.,sup. pun. enf. norm
5,20,0.03131760751,0.03131760751,apos. punish,sup. pun. enf. norm
6,20,0.026008152001,0.026008152001,script. written,sup. pun. enf. norm
7,20,0.019281310872,0.019281310872,formal script. int.,sup. pun. enf. norm
8,20,-0.04015577352,0.04015577352,monuments,sup. pun. enf. norm
9,20,-0.030550772682,0.030550772682,mass gather,sup. pun. enf. norm
10,20,-0.030988192049,0.030988192049,pilgrimages,sup. pun. enf. norm
11,20,0.035344318813,0.035344318813,afterlife belief,sup. pun. enf. norm
12,20,-0.11836473175,0.11836473175,reincarn. karma,sup. pun. enf. norm
13,20,-0.16898866161,0.16898866161,human sac.,sup. pun. enf. norm
14,20,0.10418044651,0.10418044651,supreme god,sup. pun. enf. norm
15,20,0.13752022625,0.13752022625,sup. monit. prosoc.,sup. pun. enf. norm
16,20,0.121962983,0.121962983,sup. care sex,sup. pun. enf. norm
17,20,0.0083178174874,0.0083178174874,sup. care oat,sup. pun. enf. norm
18,20,0.14725703252,0.14725703252,sup. care rit.,sup. pun. enf. norm
19,20,0.090800459219,0.090800459219,sup. care conv.,sup. pun. enf. norm
1,21,-0.068219714546,0.068219714546,vio. conf. in,sup. pun. afterlife
2,21,-0.069190299153,0.069190299153,vio. conf. out,sup. pun. afterlife
3,21,-0.0093685351138,0.0093685351138,proselytize,sup. pun. afterlife
4,21,-0.11283075902,0.11283075902,polity enf. obs.,sup. pun. afterlife
5,21,-0.072337865183,0.072337865183,apos. punish,sup. pun. afterlife
6,21,0.078803041099,0.078803041099,script. written,sup. pun. afterlife
7,21,0.014500570963,0.014500570963,formal script. int.,sup. pun. afterlife
8,21,-0.040850417374,0.040850417374,monuments,sup. pun. afterlife
9,21,-0.029878834764,0.029878834764,mass gather,sup. pun. afterlife
10,21,-0.033334897674,0.033334897674,pilgrimages,sup. pun. afterlife
11,21,-0.15675314461,0.15675314461,afterlife belief,sup. pun. afterlife
12,21,0.064858257849,0.064858257849,reincarn. karma,sup. pun. afterlife
13,21,-0.00091831580624,0.00091831580624,human sac.,sup. pun. afterlife
14,21,0.12082894867,0.12082894867,supreme god,sup. pun. afterlife
15,21,0.13800264541,0.13800264541,sup. monit. prosoc.,sup. pun. afterlife
16,21,-0.0064809671631,0.0064809671631,sup. care sex,sup. pun. afterlife
17,21,0.15967696604,0.15967696604,sup. care oat,sup. pun. afterlife
18,21,-0.0046580632303,0.0046580632303,sup. care rit.,sup. pun. afterlife
19,21,0.23111022519,0.23111022519,sup. care conv.,sup. pun. afterlife
20,21,0.013623888315,0.013623888315,sup. pun. enf. norm,sup. pun. afterlife
1,22,0.16826694547,0.16826694547,vio. conf. in,sup. pun. this life
2,22,0.13351245408,0.13351245408,vio. conf. out,sup. pun. this life
3,22,0.43885518702,0.43885518702,proselytize,sup. pun. this life
4,22,0.11767366468,0.11767366468,polity enf. obs.,sup. pun. this life
5,22,0.31404083602,0.31404083602,apos. punish,sup. pun. this life
6,22,0.012047139112,0.012047139112,script. written,sup. pun. this life
7,22,-0.017101973087,0.017101973087,formal script. int.,sup. pun. this life
8,22,-0.018028502224,0.018028502224,monuments,sup. pun. this life
9,22,-0.010504956372,0.010504956372,mass gather,sup. pun. this life
10,22,-0.075927655655,0.075927655655,pilgrimages,sup. pun. this life
11,22,0.082038848245,0.082038848245,afterlife belief,sup. pun. this life
12,22,-0.091376614169,0.091376614169,reincarn. karma,sup. pun. this life
13,22,-0.087787449885,0.087787449885,human sac.,sup. pun. this life
14,22,0.018407247114,0.018407247114,supreme god,sup. pun. this life
15,22,0.1015427425,0.1015427425,sup. monit. prosoc.,sup. pun. this life
16,22,0.15415283564,0.15415283564,sup. care sex,sup. pun. this life
17,22,0.15159479688,0.15159479688,sup. care oat,sup. pun. this life
18,22,0.26014313591,0.26014313591,sup. care rit.,sup. pun. this life
19,22,-0.039280018007,0.039280018007,sup. care conv.,sup. pun. this life
20,22,0.12161813711,0.12161813711,sup. pun. enf. norm,sup. pun. this life
21,22,-0.0071476854583,0.0071476854583,sup. pun. afterlife,sup. pun. this life
1,23,0.16386233774,0.16386233774,vio. conf. in,sup. rew. enf. norm
2,23,0.13589222614,0.13589222614,vio. conf. out,sup. rew. enf. norm
3,23,-0.1281383471,0.1281383471,proselytize,sup. rew. enf. norm
4,23,-0.073798501887,0.073798501887,polity enf. obs.,sup. rew. enf. norm
5,23,0.05422410787,0.05422410787,apos. punish,sup. rew. enf. norm
6,23,0.083208603387,0.083208603387,script. written,sup. rew. enf. norm
7,23,-0.049054892218,0.049054892218,formal script. int.,sup. rew. enf. norm
8,23,-0.076883499309,0.076883499309,monuments,sup. rew. enf. norm
9,23,-0.05483464774,0.05483464774,mass gather,sup. rew. enf. norm
10,23,-0.01754029512,0.01754029512,pilgrimages,sup. rew. enf. norm
11,23,-0.076787589571,0.076787589571,afterlife belief,sup. rew. enf. norm
12,23,-0.025065755886,0.025065755886,reincarn. karma,sup. rew. enf. norm
13,23,0.0126910701,0.0126910701,human sac.,sup. rew. enf. norm
14,23,0.052634290623,0.052634290623,supreme god,sup. rew. enf. norm
15,23,0.1225480724,0.1225480724,sup. monit. prosoc.,sup. rew. enf. norm
16,23,-0.026272645433,0.026272645433,sup. care sex,sup. rew. enf. norm
17,23,0.0066534144526,0.0066534144526,sup. care oat,sup. rew. enf. norm
18,23,0.063211661286,0.063211661286,sup. care rit.,sup. rew. enf. norm
19,23,0.04925848487,0.04925848487,sup. care conv.,sup. rew. enf. norm
20,23,0.20292536485,0.20292536485,sup. pun. enf. norm,sup. rew. enf. norm
21,23,0.094718152804,0.094718152804,sup. pun. afterlife,sup. rew. enf. norm
22,23,-0.032139990673,0.032139990673,sup. pun. this life,sup. rew. enf. norm
1,24,0.022826516652,0.022826516652,vio. conf. in,sup. rew. afterlife
2,24,-0.032476217809,0.032476217809,vio. conf. out,sup. rew. afterlife
3,24,-0.12427122024,0.12427122024,proselytize,sup. rew. afterlife
4,24,-0.1028218871,0.1028218871,polity enf. obs.,sup. rew. afterlife
5,24,-0.078129694909,0.078129694909,apos. punish,sup. rew. afterlife
6,24,0.058832099346,0.058832099346,script. written,sup. rew. afterlife
7,24,0.014413040004,0.014413040004,formal script. int.,sup. rew. afterlife
8,24,-0.10944276536,0.10944276536,monuments,sup. rew. afterlife
9,24,-0.041485250429,0.041485250429,mass gather,sup. rew. afterlife
10,24,-0.037734455418,0.037734455418,pilgrimages,sup. rew. afterlife
11,24,-0.11568785259,0.11568785259,afterlife belief,sup. rew. afterlife
12,24,0.073327723251,0.073327723251,reincarn. karma,sup. rew. afterlife
13,24,-0.078626147771,0.078626147771,human sac.,sup. rew. afterlife
14,24,0.14407449957,0.14407449957,supreme god,sup. rew. afterlife
15,24,0.10609001522,0.10609001522,sup. monit. prosoc.,sup. rew. afterlife
16,24,0.0065187462043,0.0065187462043,sup. care sex,sup. rew. afterlife
17,24,0.20288476422,0.20288476422,sup. care oat,sup. rew. afterlife
18,24,0.033905046187,0.033905046187,sup. care rit.,sup. rew. afterlife
19,24,0.1778383819,0.1778383819,sup. care conv.,sup. rew. afterlife
20,24,-0.00016426069774,0.00016426069774,sup. pun. enf. norm,sup. rew. afterlife
21,24,0.35506680659,0.35506680659,sup. pun. afterlife,sup. rew. afterlife
22,24,-0.016358581488,0.016358581488,sup. pun. this life,sup. rew. afterlife
23,24,0.0853330686,0.0853330686,sup. rew. enf. norm,sup. rew. afterlife
1,25,0.28139913915,0.28139913915,vio. conf. in,sup. rew. this life
2,25,-0.12044670561,0.12044670561,vio. conf. out,sup. rew. this life
3,25,0.17057870614,0.17057870614,proselytize,sup. rew. this life
4,25,0.30443511989,0.30443511989,polity enf. obs.,sup. rew. this life
5,25,0.076574169622,0.076574169622,apos. punish,sup. rew. this life
6,25,-0.063253628117,0.063253628117,script. written,sup. rew. this life
7,25,0.0051213057613,0.0051213057613,formal script. int.,sup. rew. this life
8,25,0.10051855001,0.10051855001,monuments,sup. rew. this life
9,25,0.10056219248,0.10056219248,mass gather,sup. rew. this life
10,25,0.062876985739,0.062876985739,pilgrimages,sup. rew. this life
11,25,0.028717080035,0.028717080035,afterlife belief,sup. rew. this life
12,25,0.060668760412,0.060668760412,reincarn. karma,sup. rew. this life
13,25,-0.066617292607,0.066617292607,human sac.,sup. rew. this life
14,25,0.16072300596,0.16072300596,supreme god,sup. rew. this life
15,25,0.17603131932,0.17603131932,sup. monit. prosoc.,sup. rew. this life
16,25,0.039103251478,0.039103251478,sup. care sex,sup. rew. this life
17,25,0.2541105907,0.2541105907,sup. care oat,sup. rew. this life
18,25,0.10613630584,0.10613630584,sup. care rit.,sup. rew. this life
19,25,0.065205886993,0.065205886993,sup. care conv.,sup. rew. this life
20,25,-0.026079067386,0.026079067386,sup. pun. enf. norm,sup. rew. this life
21,25,0.01049825929,0.01049825929,sup. pun. afterlife,sup. rew. this life
22,25,0.30361729711,0.30361729711,sup. pun. this life,sup. rew. this life
23,25,-0.096646269095,0.096646269095,sup. rew. enf. norm,sup. rew. this life
24,25,0.12934172489,0.12934172489,sup. rew. afterlife,sup. rew. this life
1,26,-0.2289439876,0.2289439876,vio. conf. in,messianic
2,26,-0.0096516338928,0.0096516338928,vio. conf. out,messianic
3,26,-0.072234140457,0.072234140457,proselytize,messianic
4,26,-0.12608234568,0.12608234568,polity enf. obs.,messianic
5,26,-0.14058964896,0.14058964896,apos. punish,messianic
6,26,0.057972560958,0.057972560958,script. written,messianic
7,26,-0.032561890198,0.032561890198,formal script. int.,messianic
8,26,-0.022030277516,0.022030277516,monuments,messianic
9,26,-0.0062779726498,0.0062779726498,mass gather,messianic
10,26,0.029146108172,0.029146108172,pilgrimages,messianic
11,26,-0.11780429665,0.11780429665,afterlife belief,messianic
12,26,0.011360754916,0.011360754916,reincarn. karma,messianic
13,26,0.061761944273,0.061761944273,human sac.,messianic
14,26,0.036479646523,0.036479646523,supreme god,messianic
15,26,0.086044707905,0.086044707905,sup. monit. prosoc.,messianic
16,26,-0.011896874758,0.011896874758,sup. care sex,messianic
17,26,0.08043988264,0.08043988264,sup. care oat,messianic
18,26,-0.085435459655,0.085435459655,sup. care rit.,messianic
19,26,0.21523354965,0.21523354965,sup. care conv.,messianic
20,26,-0.042922986902,0.042922986902,sup. pun. enf. norm,messianic
21,26,0.35238153989,0.35238153989,sup. pun. afterlife,messianic
22,26,-0.18334705588,0.18334705588,sup. pun. this life,messianic
23,26,-0.018276955445,0.018276955445,sup. rew. enf. norm,messianic
24,26,0.25779742561,0.25779742561,sup. rew. afterlife,messianic
25,26,-0.1142897673,0.1142897673,sup. rew. this life,messianic
1,27,0.29000211019,0.29000211019,vio. conf. in,soc. norms presc.
2,27,0.28032788124,0.28032788124,vio. conf. out,soc. norms presc.
3,27,0.088591071813,0.088591071813,proselytize,soc. norms presc.
4,27,0.089035045354,0.089035045354,polity enf. obs.,soc. norms presc.
5,27,0.19558653387,0.19558653387,apos. punish,soc. norms presc.
6,27,0.072357356247,0.072357356247,script. written,soc. norms presc.
7,27,0.01084207177,0.01084207177,formal script. int.,soc. norms presc.
8,27,-0.059753806573,0.059753806573,monuments,soc. norms presc.
9,27,-0.10028499954,0.10028499954,mass gather,soc. norms presc.
10,27,0.014017325362,0.014017325362,pilgrimages,soc. norms presc.
11,27,0.20611592812,0.20611592812,afterlife belief,soc. norms presc.
12,27,-0.12294961191,0.12294961191,reincarn. karma,soc. norms presc.
13,27,-0.17894364208,0.17894364208,human sac.,soc. norms presc.
14,27,0.066456956833,0.066456956833,supreme god,soc. norms presc.
15,27,0.081411989306,0.081411989306,sup. monit. prosoc.,soc. norms presc.
16,27,0.13910528915,0.13910528915,sup. care sex,soc. norms presc.
17,27,0.15257676506,0.15257676506,sup. care oat,soc. norms presc.
18,27,0.2288384097,0.2288384097,sup. care rit.,soc. norms presc.
19,27,-0.17863350933,0.17863350933,sup. care conv.,soc. norms presc.
20,27,0.075816059174,0.075816059174,sup. pun. enf. norm,soc. norms presc.
21,27,-0.10641331603,0.10641331603,sup. pun. afterlife,soc. norms presc.
22,27,0.13657095457,0.13657095457,sup. pun. this life,soc. norms presc.
23,27,0.12296513947,0.12296513947,sup. rew. enf. norm,soc. norms presc.
